PostalCode,Borough,Neighborhood,Latitude,Longitude
M3A,North York,Parkwoods,-79.32990999999998,43.75245000000007
M4A,North York,Victoria Village,-79.31305999999995,43.73057000000006
M5A,Downtown Toronto,"Regent Park, Harbourfront",-79.36263999999994,43.65512000000007
M6A,North York,"Lawrence Manor, Lawrence Heights",-79.45041999999995,43.72327000000007
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",-79.39187999999996,43.66253000000006
M9A,Etobicoke,"Islington Avenue, Humber Valley Village",-79.52830999999998,43.662630000000036
M1B,Scarborough,"Malvern, Rouge",-79.19661999999994,43.811390000000074
M3B,North York,Don Mills,-79.36185999999998,43.74923000000007
M4B,East York,"Parkview Hill, Woodbine Gardens",-79.31191999999999,43.70718000000005
M5B,Downtown Toronto,"Garden District, Ryerson",-79.37803999999994,43.65739000000008
M6B,North York,Glencairn,-79.44811999999996,43.70687000000004
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",-79.55361999999997,43.65034000000003
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",-79.15874999999994,43.78574000000003
M3C,North York,Don Mills,-79.34351999999996,43.72168000000005
M4C,East York,Woodbine Heights,-79.30681999999996,43.68970000000007
M5C,Downtown Toronto,St. James Town,-79.37586999999996,43.65215000000006
M6C,York,Humewood-Cedarvale,-79.43035999999995,43.69211000000007
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",-79.57824999999997,43.64857000000006
M1E,Scarborough,"Guildwood, Morningside, West Hill",-79.17469999999997,43.765750000000025
M4E,East Toronto,The Beaches,-79.29546999999997,43.67709000000008
M5E,Downtown Toronto,Berczy Park,-79.37305999999995,43.64536000000004
M6E,York,Caledonia-Fairbanks,-79.45045999999996,43.68784000000005
M1G,Scarborough,Woburn,-79.21760999999998,43.76812000000007
M4G,East York,Leaside,-79.36348999999996,43.709020000000066
M5G,Downtown Toronto,Central Bay Street,-79.38492999999994,43.65609000000006
M6G,Downtown Toronto,Christie,-79.42070999999999,43.668690000000026
M1H,Scarborough,Cedarbrae,-79.23891999999995,43.76944000000003
M2H,North York,Hillcrest Village,-79.35557999999997,43.80225000000007
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",-79.44846999999999,43.75788000000006
M4H,East York,Thorncliffe Park,-79.34904999999998,43.70142000000004
M5H,Downtown Toronto,"Richmond, Adelaide, King",-79.38257999999996,43.64970000000005
M6H,West Toronto,"Dufferin, Dovercourt Village",-79.43890999999996,43.665050000000065
M1J,Scarborough,Scarborough Village,-79.23116999999996,43.74446000000006
